,Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
101,samanthalogan,Samantha Logan,1800000.0,6000000.0,840900.0,3000.0,2800.0
102,jakekrantz1,Jake Krantz,2100000.0,3600000.0,772300.0,3200.0,7100.0
103,fujiiian,Fuji,12700000.0,6200000.0,760400.0,3400.0,2600.0
104,vincentmarcus,VincentMarcus,2500000.0,10700000.0,250400.0,2300.0,8200.0
105,hongthanhofficial,HongThanhOfficial,1300000.0,7700000.0,675600.0,2700.0,2700.0
106,kervo.dolo,Kervo.dolo,7500000.0,3900000.0,606400.0,4400.0,7100.0
107,zachjustice,Zach Justice,3900000.0,6000000.0,793700.0,1000.0,4600.0
108,qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2800000.0,3600000.0,348000.0,10200.0,10800.0
109,fortnitekanal.exe,Fortnitekanal.exe,1400000.0,2200000.0,539400.0,14000.0,7800.0
110,m.wardy_14,وردى,67600.0,1900000.0,465500.0,3800.0,24800.0
111,ynchq,ЯN,3700000.0,3900000.0,645100.0,4100.0,5800.0
112,nilered,NileRed,8700000.0,4000000.0,725800.0,5400.0,3200.0
113,besttoks,besttoks,2200000.0,17400000.0,451600.0,1100.0,2100.0
114,miketoks,Miketoks,11600000.0,6200000.0,599700.0,2500.0,4000.0
115,tiktokmena,TikTok MENA,5700000.0,39500000.0,179200.0,1200.0,2200.0
116,eyavanana,Eya,10800000.0,4600000.0,725300.0,5000.0,2100.0
117,john.leitao,John Leitão,2700000.0,4300000.0,380900.0,7800.0,6400.0
118,brunodiferente2022,Bruno Diferente,4000000.0,6600000.0,116700.0,6000.0,22400.0
119,sugarcoatedsisters,Tabby and Chloe,320300.0,3200000.0,523799.99999999994,2600.0,10500.0
120,hesfinatia,PINAT🍅|| IG: @hesfinatia,8300000.000000001,8600000.0,936900.0,1800.0,837.0
121,vadik_dikiy,vadik_dikiy,914800.0,3200000.0,489100.0,2000.0,11800.0
122,championsleague,Champions League,11600000.0,3600000.0,628300.0,4200.0,5100.0
123,esnyrrr,Esnyr Ranollo,4400000.0,3500000.0,645300.0,4500.0,4800.0
124,savanahmosss,Savanah Moss,9300000.0,4500000.0,703000.0,4100.0,2500.0
125,dindahw14,Dinda Hauw,3000000.0,7900000.0,689200.0,2000.0,1800.0
126,joshiiwuhhh,Joshua Alden,3200000.0,2900000.0,555500.0,3700.0,8800.0
127,j3ipy_,Jeipy,7800000.0,4300000.0,760700.0,3300.0,2800.0
128,morganpresleyxo,Morgan Presley,5300000.0,4800000.0,638500.0,3100.0,3500.0
129,skaijackson,Skai Jackson 🥰,19700000.0,5200000.0,824000.0,3100.0,1500.0
130,ssmaaaryy,Razi Monroe,6800000.0,6400000.0,586300.0,2800.0,2400.0
131,vhackerr,Vinnie,13900000.0,2900000.0,593700.0,7800.0,3600.0
132,tranvantre992,Trần Tre Vlogs 🐉,759300.0,9100000.0,472900.0,3700.0,799.0
133,jwaltonnn,ᴊ⚡️,733400.0,1700000.0,369400.0,28000.0,2500.0
134,kubenjoy,KUBenjoy,3500000.0,4200000.0,476300.0,5000.0,4500.0
135,jdiasss_,João Dias,7000000.0,3500000.0,817000.0,4500.0,2000.0
136,evcnoble,Everett Noble,9800000.0,3400000.0,844500.0,3200.0,3400.0
137,victormelo,Victor Melo,19400000.0,4600000.0,642200.0,3800.0,2400.0
138,emilen_im,Эмильен,4000000.0,5300000.0,663100.0,4000.0,1200.0
139,ehlija,Eh Lija,3300000.0,4000000.0,506000.0,4700.0,4300.0
140,thoriqhal,thariqhalilintar,3800000.0,5800000.0,662000.0,2400.0,2200.0
141,afgsuga,Afg Suga Official,161700.0,3300000.0,490300.0,4100.0,6800.0
142,jen_wolff,jenny,187600.0,2900000.0,371600.0,5700.0,10500.0
143,tubbynugget,Tubby Nugget,3500000.0,2600000.0,518200.00000000006,2100.0,10800.0
144,rescuerestore,Rescue & Restore,1500000.0,9200000.0,430000.0,1500.0,2900.0
145,baddest4bitches,Edda,1500000.0,2500000.0,580200.0,8500.0,3400.0
146,_itsstefano_,It'sStefano,4400000.0,4600000.0,553800.0,5800.0,856.0
147,guryan_off,Гурьянов Максим,2600000.0,3300000.0,479500.0,3100.0,7700.0
148,thebenjishow,benji,5500000.0,3400000.0,549600.0,3800.0,5200.0
149,mikaelatesta,Mikaela Testa,1700000.0,4300000.0,960300.0,3300.0,749.0
150,grillervm,GrillerVM,2900000.0,4300000.0,549300.0,2900.0,4000.0
151,riaricis,Ria Ricis,25500000.0,5500000.0,665100.0,2200.0,2100.0
152,lizzza,Liza Koshy,29400000.0,5200000.0,1200000.0,1900.0,616.0
153,elmarianaa,ElMariana,6500000.0,3800000.0,834800.0,1600.0,3300.0
154,somi_official_,JEON SOMI,6100000.0,3000000.0,746300.0,4600.0,2300.0
155,craggygames,Craggy Games,306800.0,7000000.0,189300.0,726.0,10900.0
156,gritside,gritside,3600000.0,3500000.0,446400.0,1500.0,8300.0
157,charlieputh,Charlie Puth,16100000.000000002,3500000.0,509100.0,5800.0,2600.0
158,spencer_serafica,Xspencer,12300000.0,4000000.0,663200.0,4100.0,1600.0
159,mikaylahau,Mikaylah,4200000.0,3000000.0,386400.0,9900.0,3200.0
160,kevinprieto077,kevinprieto077,1800000.0,3800000.0,589300.0,3400.0,3100.0
161,christianfabiannn,Christian Fabián D.,12000000.0,4800000.0,733200.0,3700.0,398.0
162,brotherofcolor,Heyimparis,12700000.0,5000000.0,609500.0,3600.0,1100.0
163,gavrilinaa,Юлька Шпулька🕷🕸,16300000.0,3900000.0,522200.00000000006,4000.0,3000.0
164,phun.anh,Phùn Anh,2700000.0,6800000.0,374200.0,3800.0,1700.0
165,tooturnttony,Tooturnttony,15600000.0,5400000.0,464600.0,2800.0,2800.0
166,baimwong,Baim Wong,7500000.0,5100000.0,392400.0,3700.0,3300.0
167,maxtaylorlifts,Max Taylor,7600000.0,3000000.0,529000.0,4400.0,4500.0
168,kimberly11sofia,✨Kimberly11sofia✨,576600.0,1900000.0,208000.0,27000.0,7800.0
169,lourdasprec,LOURD,8700000.0,2400000.0,592100.0,5300.0,4300.0
170,katiavlogss,KATIAVLOGS🐒,13800000.0,4600000.0,638200.0,3500.0,1100.0
171,itslennnie,lennnie,1900000.0,1900000.0,319200.0,2400.0,20000.0
172,couragejd,Jack CouRage Dunlop,3100000.0,3400000.0,391500.0,2900.0,7100.0
173,karimmahmoudabdelaziz,Karim Mahmoud Abdel Aziz,3400000.0,5300000.0,375600.0,2500.0,4100.0
174,jbdjebb,Jean-Baptiste Djebbari,1100000.0,2900000.0,448600.0,6200.0,3800.0
175,dailymug69,It’s a sad story...,4200000.0,4099999.9999999995,544200.0,5600.0,251.0
176,superfirsthero,СУПЕРПЕРВЫЙГЕРОЙ,1600000.0,2800000.0,526100.0,4400.0,4500.0
